id,thoi_gian_gui,ten_thiet_bi,nhiet_do,do_am,led1,led2,led3
6ab091f415238663fa08569c,2026-09-21T09:09:56.179000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091f515238663fa08569d,2026-09-21T09:09:57.205000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091f615238663fa08569e,2026-09-21T09:09:58.131000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091f715238663fa08569f,2026-09-21T09:09:59.144000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091f815238663fa0856a0,2026-09-21T09:10:00.176000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091f915238663fa0856a1,2026-09-21T09:10:01.131000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091fa15238663fa0856a2,2026-09-21T09:10:02.226000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091fb15238663fa0856a3,2026-09-21T09:10:03.353000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091fc15238663fa0856a4,2026-09-21T09:10:04.167000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091fd15238663fa0856a5,2026-09-21T09:10:05.184000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091fe15238663fa0856a6,2026-09-21T09:10:06.415000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091ff15238663fa0856a7,2026-09-21T09:10:07.239000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0920015238663fa0856a8,2026-09-21T09:10:08.160000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0920115238663fa0856a9,2026-09-21T09:10:09.388000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0920215238663fa0856aa,2026-09-21T09:10:10.412000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0920315238663fa0856ab,2026-09-21T09:10:11.352000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0920415238663fa0856ac,2026-09-21T09:10:12.252000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0920515238663fa0856ad,2026-09-21T09:10:13.683000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0920615238663fa0856ae,2026-09-21T09:10:14.195000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0920715238663fa0856af,2026-09-21T09:10:15.631000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0920915238663fa0856b0,2026-09-21T09:10:17.068000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0920915238663fa0856b1,2026-09-21T09:10:17.780000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0920a15238663fa0856b2,2026-09-21T09:10:18.731000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0920b15238663fa0856b3,2026-09-21T09:10:19.734000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0920c15238663fa0856b4,2026-09-21T09:10:20.551000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0920d15238663fa0856b5,2026-09-21T09:10:21.575000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0920e15238663fa0856b6,2026-09-21T09:10:22.515000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0920f15238663fa0856b7,2026-09-21T09:10:23.827000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0921115238663fa0856b8,2026-09-21T09:10:25.254000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0921215238663fa0856b9,2026-09-21T09:10:26.182000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0921215238663fa0856ba,2026-09-21T09:10:26.909000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab0921415238663fa0856bb,2026-09-21T09:10:28.135000+07:00,pi4-tdbao,26.0,74.0,1,0,0
6ab0921415238663fa0856bc,2026-09-21T09:10:28.941000+07:00,pi4-tdbao,26.0,74.0,0,1,0
6ab0921515238663fa0856bd,2026-09-21T09:10:29.917000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab0921615238663fa0856be,2026-09-21T09:10:30.791000+07:00,pi4-tdbao,26.0,73.0,1,0,0
6ab0921815238663fa0856bf,2026-09-21T09:10:32.015000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab0921815238663fa0856c0,2026-09-21T09:10:32.729000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab0921915238663fa0856c1,2026-09-21T09:10:33.760000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab0921a15238663fa0856c2,2026-09-21T09:10:34.690000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab0921b15238663fa0856c3,2026-09-21T09:10:35.706000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab0921c15238663fa0856c4,2026-09-21T09:10:36.929000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0921d15238663fa0856c5,2026-09-21T09:10:37.918000+07:00,pi4-tdbao,26.0,71.0,0,1,0
